[    2805ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2431
[    2826ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2431
[ 1074796ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=xIdOqR11hkFiJQxKZ3Wc1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 1075804ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=xIdOqR11hkFiJQxKZ3Wc1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 1076808ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=xIdOqR11hkFiJQxKZ3Wc1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 1077815ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=xIdOqR11hkFiJQxKZ3Wc1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 1078820ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=xIdOqR11hkFiJQxKZ3Wc1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 1083826ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=xIdOqR11hkFiJQxKZ3Wc1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 1088842ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=xIdOqR11hkFiJQxKZ3Wc1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 1093856ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=xIdOqR11hkFiJQxKZ3Wc1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 1098891ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=xIdOqR11hkFiJQxKZ3Wc1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 1103957ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=xIdOqR11hkFiJQxKZ3Wc1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 1109008ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=xIdOqR11hkFiJQxKZ3Wc1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 1114289ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=xIdOqR11hkFiJQxKZ3Wc1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
